LEVEL_INFORMATION
Template level - nice beginning point for designing new levels
TILES
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,
2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,
2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,
2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,
2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,
2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,
2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,
2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,2,
2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,
2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,2,2,
2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,
2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,
2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,
2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,
2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,
2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,
2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
POSITION
SHIELDMAIDEN 150 150 1
SHIELDMAIDEN 200 150 2
SHIELDMAIDEN 150 200 3
SHIELDMAIDEN 200 200 4
BOSSBUNNY 1100 100
BOSSBUNNY 1130 470
BOSSBUNNY 1130 580
BOSSBUNNY 1100 900
VDOOR 600 0 10
VDOOR 1150 50 20
VDOOR 1200 450 30
VDOOR 1150 850 40
DOOR 1300 400 50
VDOOR 1550 550 60
DOOR 1650 500 70
TRAPDOOR 1750 300 80
HANDLE 1760 400 99
HANDLE 100 100 1 1
BOSSBUNNY 700 700 1
HANDLE 100 200 2 1
HANDLE 100 300 3 1
HANDLE 100 400 4 1
HANDLE 100 500 5 1
HANDLE 100 600 6 1
HANDLE 100 700 7 1
HANDLE 100 800 8 1
HANDLE 100 900 9 1
HANDLE 220 100 11 1
HANDLE 220 200 12 1
HANDLE 220 300 13 1
HANDLE 220 400 14 1
HANDLE 220 500 15 1
HANDLE 220 600 16 1
HANDLE 220 700 17 1
HANDLE 220 800 18 1
HANDLE 220 900 19 1
HANDLE 340 100 21 1
HANDLE 340 200 22 1
HANDLE 340 300 23 1
HANDLE 340 400 24 1
HANDLE 340 500 25 1
HANDLE 340 600 26 1
HANDLE 340 700 27 1
HANDLE 340 800 28 1
HANDLE 340 900 29 1
HANDLE 460 100 31 1
HANDLE 460 200 32 1
HANDLE 460 300 33 1
HANDLE 460 400 34 1
HANDLE 460 500 35 1
HANDLE 460 600 36 1
HANDLE 460 700 37 1
HANDLE 460 800 38 1
HANDLE 460 900 39 1
HANDLE 700 250 41 1
HANDLE 820 250 42 1
HANDLE 940 250 43 1
HANDLE 1060 250 44 1
HANDLE 700 350 45 1
HANDLE 820 350 46 1
HANDLE 940 350 47 1
HANDLE 1060 350 48 1
HANDLE 700 650 51 1
HANDLE 820 650 52 1
HANDLE 940 650 53 1
HANDLE 1060 650 54 1
HANDLE 700 750 55 1
HANDLE 820 750 56 1
HANDLE 940 750 57 1
HANDLE 1060 750 58 1
ENDOFFILE

note: this is not the actual tutorial level, more like a test level
